Date received,Product,Sub-product,Issue,Sub-issue,Consumer complaint narrative,Company public response,Company,State,ZIP code,Submitted via,Date sent to company,Company response to consumer,Timely response?,Consumer disputed?,Complaint ID
11/30/2015,Consumer loan,Vehicle loan,Taking out the loan or lease,,,,Navy FCU,NY,120XX,Web,11/30/2015,In progress,Yes,,1675110
11/30/2015,Debt collection,Auto,Communication tactics,Used obscene/profane/abusive language,,,Ally Financial Inc.,GA,30349,Web,11/30/2015,In progress,Yes,,1675325
11/30/2015,Debt collection,Medical,Cont'd attempts collect debt not owed,Debt resulted from identity theft,,,Clark County Collection Service,NV,891XX,Web,11/30/2015,Closed,Yes,,1676933
11/30/2015,Payday loan,,Received a loan I didn't apply for,,,,CNG Financial Corporation,MI,48071,Web,11/30/2015,Closed with explanation,Yes,,1675274
11/30/2015,Debt collection,"Other (phone, health club, etc.)",Communication tactics,Used obscene/profane/abusive language,,,"Hunter Warfield, Inc.",GA,308XX,Web,11/30/2015,In progress,Yes,,1676008
11/30/2015,Payday loan,,Received a loan I didn't apply for,,,,CNG Financial Corporation,VA,232XX,Web,11/30/2015,Closed with explanation,Yes,,1675537
11/30/2015,Consumer loan,Vehicle loan,Managing the loan or lease,,,,Ally Financial Inc.,PA,152XX,Web,11/30/2015,In progress,Yes,,1676454
11/30/2015,Debt collection,Payday loan,Taking/threatening an illegal action,Threatened arrest/jail if do not pay,,,CNG Financial Corporation,VA,232XX,Web,11/30/2015,Closed with explanation,Yes,,1675539
11/30/2015,Credit reporting,,Incorrect information on credit report,Personal information,,Company believes complaint caused principally by actions of third party outside the control or direction of the company,"Credit Karma, Inc.",PA,190XX,Web,11/30/2015,Closed with explanation,Yes,,1675866
11/30/2015,Bank account or service,Checking account,"Account opening, closing, or management",,,Company chooses not to provide a public response,BB&T Financial,WV,25403,Referral,11/30/2015,Closed with explanation,Yes,,1675145
11/29/2015,Debt collection,"Other (phone, health club, etc.)",Disclosure verification of debt,Not given enough info to verify debt,,,"RMS-Recovery Management Services, Inc.",FL,32218,Web,11/30/2015,Closed with explanation,Yes,,1676179
11/29/2015,Debt collection,"Other (phone, health club, etc.)",Taking/threatening an illegal action,Seized/Attempted to seize property,,Company believes it acted appropriately as authorized by contract or law,"The Allen Daniel Associates, Inc.",WA,98363,Web,11/29/2015,Closed with explanation,Yes,Yes,1674803
11/29/2015,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,,,Navy FCU,DE,197XX,Web,11/30/2015,In progress,Yes,,1675064
11/29/2015,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,,,Arbor Residential Mortgage LLC,GA,30102,Web,11/29/2015,In progress,Yes,,1674758
11/29/2015,Credit reporting,,Unable to get credit report/credit score,Problem getting my free annual report,,Company can't verify or dispute the facts in the complaint,"Credit Karma, Inc.",PA,191XX,Web,11/29/2015,Closed with explanation,Yes,,1674819
